,episode,make_span,reward,no-op
0,0.0,1076.0,-5.176470588235295,0.0
1,0.0,1079.0,-5.470588235294118,0.0
2,0.0,1089.0,-6.450980392156864,0.0
3,1.0,1079.0,-5.470588235294118,0.0
4,1.0,1076.0,-5.176470588235295,0.0
5,1.0,1076.0,-5.176470588235295,0.0
6,2.0,1083.0,-5.862745098039218,0.0
7,2.0,1073.0,-4.882352941176473,0.0
8,2.0,1076.0,-5.176470588235295,0.0
9,3.0,1083.0,-5.862745098039218,0.0
10,3.0,1076.0,-5.176470588235295,0.0
11,3.0,1083.0,-5.862745098039218,0.0
12,4.0,1076.0,-5.176470588235295,0.0
13,4.0,1088.0,-6.3529411764705905,0.0
14,4.0,1076.0,-5.176470588235295,0.0
15,5.0,1076.0,-5.176470588235295,0.0
16,5.0,1076.0,-5.176470588235295,0.0
17,5.0,1076.0,-5.1764705882352935,0.0
18,6.0,1076.0,-5.176470588235295,0.0
19,6.0,1076.0,-5.176470588235295,0.0
20,6.0,1076.0,-5.176470588235295,0.0
21,7.0,1105.0,-8.019607843137253,0.0
22,7.0,1079.0,-5.470588235294118,0.0
23,7.0,1076.0,-5.176470588235295,0.0
24,8.0,1079.0,-5.470588235294118,0.0
25,8.0,1073.0,-4.882352941176472,0.0
26,8.0,1076.0,-5.176470588235295,0.0
27,9.0,1076.0,-5.176470588235295,0.0
28,9.0,1076.0,-5.176470588235295,0.0
29,9.0,1122.0,-9.686274509803921,0.0
30,10.0,1079.0,-5.470588235294119,0.0
31,10.0,1076.0,-5.176470588235295,0.0
32,10.0,1076.0,-5.176470588235295,0.0
33,11.0,1076.0,-5.1764705882352935,0.0
34,11.0,1076.0,-5.176470588235295,0.0
35,11.0,1076.0,-5.176470588235295,0.0
36,12.0,1076.0,-5.176470588235295,0.0
37,12.0,1076.0,-5.176470588235295,0.0
38,12.0,1076.0,-5.176470588235295,0.0
39,13.0,1076.0,-5.1764705882352935,0.0
40,13.0,1076.0,-5.176470588235295,0.0
41,13.0,1073.0,-4.882352941176473,0.0
42,14.0,1095.0,-7.03921568627451,0.0
43,14.0,1073.0,-4.882352941176474,0.0
44,14.0,1073.0,-4.882352941176473,0.0
45,15.0,1073.0,-4.882352941176474,0.0
46,15.0,1073.0,-4.882352941176474,0.0
47,15.0,1045.0,-2.1372549019607883,0.0
48,16.0,1076.0,-5.176470588235295,0.0
49,16.0,1076.0,-5.1764705882352935,0.0
50,16.0,1073.0,-4.882352941176472,0.0
51,17.0,1076.0,-5.1764705882352935,0.0
52,17.0,1073.0,-4.882352941176473,0.0
53,17.0,1073.0,-4.882352941176471,0.0
54,18.0,1083.0,-5.862745098039218,0.0
55,18.0,1076.0,-5.176470588235295,0.0
56,18.0,1073.0,-4.882352941176472,0.0
57,19.0,1103.0,-7.823529411764708,0.0
58,19.0,1076.0,-5.1764705882352935,0.0
59,19.0,1116.0,-9.098039215686274,0.0
60,20.0,1076.0,-5.1764705882352935,0.0
61,20.0,1073.0,-4.882352941176474,0.0
62,20.0,1073.0,-4.882352941176473,0.0
63,21.0,1114.0,-8.90196078431373,0.0
64,21.0,1073.0,-4.882352941176474,0.0
65,21.0,1089.0,-6.450980392156866,0.0
66,22.0,1073.0,-4.882352941176474,0.0
67,22.0,1073.0,-4.882352941176474,0.0
