,episode,make_span,reward,no-op
0,0.0,2492.0,123.28712871287132,0.0
1,0.0,2486.0,124.47524752475246,0.0
2,0.0,2445.0,132.59405940594067,0.0
3,1.0,2467.0,128.23762376237607,0.0
4,1.0,2462.0,129.22772277227722,0.0
5,1.0,2474.0,126.85148514851487,0.0
6,2.0,2447.0,132.19801980198017,0.0
7,2.0,2433.0,134.97029702970312,0.0
8,2.0,2425.0,136.55445544554482,0.0
9,3.0,2475.0,126.65346534653466,0.0
10,3.0,2425.0,136.55445544554453,0.0
11,3.0,2462.0,129.22772277227716,0.0
12,4.0,2377.0,146.0594059405938,0.0
13,4.0,2436.0,134.37623762376234,0.0
14,4.0,2437.0,134.17821782178208,0.0
15,5.0,2375.0,146.45544554455472,0.0
16,5.0,2479.0,125.86138613861374,0.0
17,5.0,2439.0,133.78217821782198,0.0
18,6.0,2495.0,122.69306930693067,0.0
19,6.0,2474.0,126.85148514851487,0.0
20,6.0,2414.0,138.7326732673269,0.0
21,7.0,2455.0,130.6138613861384,0.0
22,7.0,2428.0,135.96039603960415,0.0
23,7.0,2545.0,112.79207920792075,0.0
24,8.0,2468.0,128.03960396039597,0.0
25,8.0,2491.0,123.4851485148514,0.0
26,8.0,2453.0,131.0099009900991,0.0
27,9.0,2640.0,93.98019801980189,0.0
28,9.0,2446.0,132.39603960396042,0.0
29,9.0,2487.0,124.2772277227723,0.0
30,10.0,2430.0,135.56435643564393,0.0
31,10.0,2391.0,143.2871287128713,0.0
32,10.0,2441.0,133.38613861386125,0.0
33,11.0,2469.0,127.84158415841574,0.0
34,11.0,2492.0,123.28712871287112,0.0
35,11.0,2383.0,144.87128712871274,0.0
36,12.0,2450.0,131.60396039603995,0.0
37,12.0,2478.0,126.05940594059388,0.0
38,12.0,2416.0,138.33663366336611,0.0
39,13.0,2404.0,140.71287128712902,0.0
40,13.0,2636.0,94.77227722772275,0.0
41,13.0,2457.0,130.21782178217825,0.0
42,14.0,2395.0,142.49504950495069,0.0
43,14.0,2413.0,138.93069306930687,0.0
44,14.0,2498.0,122.0990099009901,0.0
45,15.0,2404.0,140.7128712871287,0.0
46,15.0,2413.0,138.9306930693069,0.0
47,15.0,2408.0,139.92079207920807,0.0
48,16.0,2443.0,132.9900990099013,0.0
49,16.0,2433.0,134.97029702970312,0.0
50,16.0,2405.0,140.5148514851485,0.0
51,17.0,2590.0,103.88118811881192,0.0
52,17.0,2414.0,138.73267326732687,0.0
53,17.0,2498.0,122.09900990099007,0.0
54,18.0,2449.0,131.8019801980198,0.0
55,18.0,2399.0,141.70297029702982,0.0
56,18.0,2432.0,135.16831683168314,0.0
57,19.0,2451.0,131.40594059405944,0.0
58,19.0,2395.0,142.49504950495052,0.0
59,19.0,2432.0,135.1683168316831,0.0
60,20.0,2488.0,124.07920792079233,0.0
61,20.0,2393.0,142.89108910891096,0.0
62,20.0,2475.0,126.65346534653469,0.0
63,21.0,2432.0,135.16831683168346,0.0
64,21.0,2401.0,141.30693069306938,0.0
65,21.0,2442.0,133.18811881188128,0.0
66,22.0,2422.0,137.14851485148503,0.0
67,22.0,2449.0,131.80198019801983,0.0
68,22.0,2425.0,136.5544554455446,0.0
69,23.0,2422.0,137.14851485148506,0.0
70,23.0,2439.0,133.78217821782175,0.0
71,23.0,2437.0,134.178217821782,0.0
72,24.0,2418.0,137.94059405940578,0.0
73,24.0,2392.0,143.0891089108911,0.0
74,24.0,2412.0,139.12871287128726,0.0
75,25.0,2447.0,132.19801980198014,0.0
76,25.0,2439.0,133.7821782178219,0.0
77,25.0,2476.0,126.45544554455454,0.0
78,26.0,2513.0,119.12871287128692,0.0
79,26.0,2404.0,140.7128712871286,0.0
80,26.0,2428.0,135.96039603960392,0.0
81,27.0,2483.0,125.06930693069336,0.0
82,27.0,2421.0,137.34653465346543,0.0
83,27.0,2408.0,139.920792079208,0.0
84,28.0,2379.0,145.66336633663386,0.0
85,28.0,2466.0,128.43564356435644,0.0
86,28.0,2419.0,137.74257425742593,0.0
87,29.0,2511.0,119.52475247524747,0.0
88,29.0,2474.0,126.8514851485148,0.0
89,29.0,2436.0,134.37623762376228,0.0
90,30.0,2442.0,133.1881188118811,0.0
91,30.0,2493.0,123.08910891089106,0.0
92,30.0,2439.0,133.78217821782192,0.0
93,31.0,2427.0,136.15841584158426,0.0
94,31.0,2423.0,136.950495049505,0.0
95,31.0,2412.0,139.12871287128704,0.0
96,32.0,2467.0,128.23762376237647,0.0
97,32.0,2457.0,130.21782178217822,0.0
98,32.0,2438.0,133.98019801980186,0.0
99,33.0,2426.0,136.35643564356468,0.0
100,33.0,2418.0,137.94059405940604,0.0
101,33.0,2390.0,143.48514851485163,0.0
102,34.0,2558.0,110.2178217821783,0.0
103,34.0,2485.0,124.67326732673246,0.0
104,34.0,2371.0,147.2475247524754,0.0
105,35.0,2392.0,143.0891089108914,0.0
106,35.0,2404.0,140.7128712871288,0.0
107,35.0,2474.0,126.85148514851485,0.0
108,36.0,2462.0,129.22772277227696,0.0
109,36.0,2487.0,124.27722772277252,0.0
110,36.0,2469.0,127.84158415841596,0.0
111,37.0,2429.0,135.7623762376239,0.0
112,37.0,2525.0,116.75247524752484,0.0
113,37.0,2362.0,149.02970297029697,0.0
114,38.0,2472.0,127.24752475247527,0.0
115,38.0,2456.0,130.41584158415853,0.0
116,38.0,2477.0,126.25742574257407,0.0
117,39.0,2405.0,140.5148514851485,0.0
118,39.0,2415.0,138.53465346534662,0.0
119,39.0,2448.0,132.00000000000006,0.0
120,40.0,2413.0,138.93069306930715,0.0
121,40.0,2405.0,140.51485148514848,0.0
122,40.0,2402.0,141.1089108910892,0.0
123,41.0,2433.0,134.9702970297029,0.0
124,41.0,2461.0,129.42574257425753,0.0
125,41.0,2547.0,112.39603960396056,0.0
126,42.0,2436.0,134.37623762376234,0.0
127,42.0,2454.0,130.8118811881189,0.0
128,42.0,2410.0,139.52475247524742,0.0
129,43.0,2416.0,138.3366336633663,0.0
130,43.0,2418.0,137.94059405940604,0.0
131,43.0,2424.0,136.752475247525,0.0
132,44.0,2407.0,140.11881188118812,0.0
133,44.0,2548.0,112.1980198019803,0.0
134,44.0,2476.0,126.45544554455441,0.0
135,45.0,2459.0,129.8217821782179,0.0
136,45.0,2507.0,120.31683168316823,0.0
137,45.0,2411.0,139.32673267326743,0.0
138,46.0,2511.0,119.52475247524745,0.0
139,46.0,2461.0,129.42574257425744,0.0
140,46.0,2467.0,128.2376237623762,0.0
141,47.0,2436.0,134.37623762376248,0.0
142,47.0,2375.0,146.45544554455464,0.0
143,47.0,2504.0,120.91089108910884,0.0
144,48.0,2473.0,127.04950495049512,0.0
145,48.0,2358.0,149.82178217821783,0.0
146,48.0,2402.0,141.10891089108907,0.0
147,49.0,2564.0,109.029702970297,0.0
148,49.0,2394.0,142.69306930693065,0.0
149,49.0,2416.0,138.3366336633665,0.0
150,50.0,2420.0,137.54455445544554,0.0
151,50.0,2412.0,139.12871287128712,0.0
152,50.0,2423.0,136.95049504950512,0.0
153,51.0,2372.0,147.0495049504953,0.0
