,episode,make_span,reward,no-op
0,0.0,5528.0,850.2020202020192,0.0
1,0.0,5570.0,841.7171717171718,0.0
2,0.0,5509.0,854.0404040404026,0.0
3,1.0,5482.0,859.494949494948,0.0
4,1.0,5524.0,851.0101010101,0.0
5,1.0,5506.0,854.6464646464623,0.0
6,2.0,5522.0,851.414141414139,0.0
7,2.0,5527.0,850.4040404040395,0.0
8,2.0,5631.0,829.3939393939391,0.0
9,3.0,5543.0,847.1717171717155,0.0
10,3.0,5519.0,852.0202020202006,0.0
11,3.0,5476.0,860.70707070707,0.0
12,4.0,5507.0,854.4444444444431,0.0
13,4.0,5578.0,840.1010101010085,0.0
14,4.0,5615.0,832.6262626262626,0.0
15,5.0,5583.0,839.0909090909087,0.0
16,5.0,5571.0,841.5151515151512,0.0
17,5.0,5562.0,843.3333333333343,0.0
18,6.0,5587.0,838.2828282828286,0.0
19,6.0,5575.0,840.7070707070691,0.0
20,6.0,5643.0,826.9696969696973,0.0
21,7.0,5559.0,843.9393939393931,0.0
22,7.0,5467.0,862.5252525252513,0.0
23,7.0,5655.0,824.545454545454,0.0
24,8.0,5575.0,840.70707070707,0.0
25,8.0,5433.0,869.393939393937,0.0
26,8.0,5414.0,873.2323232323217,0.0
27,9.0,5578.0,840.1010101010078,0.0
28,9.0,5602.0,835.2525252525237,0.0
29,9.0,5573.0,841.1111111111096,0.0
30,10.0,5553.0,845.1515151515144,0.0
31,10.0,5610.0,833.6363636363625,0.0
32,10.0,5455.0,864.949494949493,0.0
33,11.0,5621.0,831.4141414141402,0.0
34,11.0,5641.0,827.3737373737368,0.0
35,11.0,5535.0,848.7878787878766,0.0
36,12.0,5616.0,832.4242424242406,0.0
37,12.0,5521.0,851.6161616161603,0.0
38,12.0,5646.0,826.3636363636359,0.0
39,13.0,5531.0,849.595959595961,0.0
40,13.0,5539.0,847.9797979797956,0.0
41,13.0,5603.0,835.0505050505034,0.0
42,14.0,5602.0,835.2525252525243,0.0
43,14.0,5447.0,866.5656565656535,0.0
44,14.0,5468.0,862.3232323232311,0.0
45,15.0,5485.0,858.8888888888885,0.0
46,15.0,5614.0,832.8282828282811,0.0
47,15.0,5491.0,857.6767676767673,0.0
48,16.0,5604.0,834.8484848484841,0.0
49,16.0,5577.0,840.3030303030298,0.0
50,16.0,5566.0,842.525252525252,0.0
51,17.0,5531.0,849.5959595959575,0.0
52,17.0,5536.0,848.5858585858566,0.0
53,17.0,5565.0,842.7272727272712,0.0
54,18.0,5566.0,842.5252525252507,0.0
55,18.0,5498.0,856.262626262624,0.0
56,18.0,5655.0,824.5454545454537,0.0
57,19.0,5584.0,838.888888888885,0.0
58,19.0,5537.0,848.383838383838,0.0
59,19.0,5556.0,844.5454545454521,0.0
60,20.0,5551.0,845.5555555555538,0.0
61,20.0,5487.0,858.4848484848454,0.0
62,20.0,5525.0,850.80808080808,0.0
63,21.0,5463.0,863.3333333333328,0.0
64,21.0,5562.0,843.3333333333323,0.0
65,21.0,5547.0,846.3636363636341,0.0
66,22.0,5515.0,852.8282828282809,0.0
67,22.0,5486.0,858.6868686868679,0.0
68,22.0,5647.0,826.1616161616149,0.0
69,23.0,5571.0,841.5151515151499,0.0
70,23.0,5467.0,862.5252525252522,0.0
71,23.0,5480.0,859.8989898989901,0.0
72,24.0,5474.0,861.1111111111104,0.0
73,24.0,5551.0,845.5555555555555,0.0
74,24.0,5512.0,853.4343434343422,0.0
75,25.0,5555.0,844.7474747474745,0.0
76,25.0,5480.0,859.8989898989892,0.0
77,25.0,5562.0,843.3333333333334,0.0
78,26.0,5457.0,864.5454545454534,0.0
79,26.0,5451.0,865.757575757575,0.0
80,26.0,5533.0,849.1919191919155,0.0
81,27.0,5447.0,866.5656565656549,0.0
82,27.0,5498.0,856.2626262626261,0.0
83,27.0,5569.0,841.9191919191919,0.0
84,28.0,5497.0,856.4646464646459,0.0
85,28.0,5580.0,839.696969696968,0.0
86,28.0,5515.0,852.8282828282821,0.0
87,29.0,5535.0,848.7878787878768,0.0
88,29.0,5520.0,851.8181818181796,0.0
89,29.0,5507.0,854.4444444444435,0.0
90,30.0,5505.0,854.8484848484842,0.0
91,30.0,5533.0,849.1919191919183,0.0
92,30.0,5483.0,859.292929292928,0.0
93,31.0,5590.0,837.6767676767665,0.0
94,31.0,5547.0,846.3636363636334,0.0
95,31.0,5549.0,845.9595959595957,0.0
96,32.0,5515.0,852.8282828282825,0.0
97,32.0,5631.0,829.3939393939389,0.0
98,32.0,5580.0,839.6969696969677,0.0
99,33.0,5462.0,863.535353535353,0.0
100,33.0,5513.0,853.2323232323231,0.0
101,33.0,5557.0,844.3434343434343,0.0
102,34.0,5487.0,858.4848484848482,0.0
103,34.0,5663.0,822.9292929292931,0.0
104,34.0,5558.0,844.1414141414124,0.0
105,35.0,5548.0,846.1616161616153,0.0
106,35.0,5503.0,855.2525252525235,0.0
107,35.0,5463.0,863.3333333333325,0.0
108,36.0,5488.0,858.2828282828265,0.0
109,36.0,5522.0,851.4141414141409,0.0
110,36.0,5522.0,851.41414141414,0.0
111,37.0,5582.0,839.2929292929281,0.0
112,37.0,5549.0,845.9595959595954,0.0
113,37.0,5526.0,850.6060606060607,0.0
114,38.0,5468.0,862.3232323232309,0.0
115,38.0,5452.0,865.5555555555554,0.0
116,38.0,5522.0,851.4141414141408,0.0
117,39.0,5623.0,831.0101010101008,0.0
118,39.0,5511.0,853.6363636363624,0.0
119,39.0,5506.0,854.6464646464648,0.0
120,40.0,5547.0,846.3636363636344,0.0
121,40.0,5543.0,847.1717171717156,0.0
122,40.0,5486.0,858.6868686868661,0.0
123,41.0,5533.0,849.1919191919183,0.0
124,41.0,5546.0,846.5656565656549,0.0
125,41.0,5565.0,842.727272727272,0.0
126,42.0,5460.0,863.9393939393941,0.0
127,42.0,5562.0,843.3333333333325,0.0
128,42.0,5539.0,847.9797979797962,0.0
129,43.0,5656.0,824.3434343434327,0.0
130,43.0,5558.0,844.1414141414126,0.0
131,43.0,5561.0,843.535353535351,0.0
132,44.0,5507.0,854.4444444444429,0.0
133,44.0,5506.0,854.6464646464652,0.0
134,44.0,5458.0,864.3434343434326,0.0
135,45.0,5508.0,854.2424242424215,0.0
136,45.0,5594.0,836.8686868686865,0.0
137,45.0,5520.0,851.81818181818,0.0
138,46.0,5675.0,820.5050505050508,0.0
139,46.0,5468.0,862.3232323232315,0.0
140,46.0,5563.0,843.1313131313124,0.0
141,47.0,5514.0,853.030303030301,0.0
142,47.0,5506.0,854.646464646464,0.0
143,47.0,5642.0,827.1717171717161,0.0
144,48.0,5507.0,854.4444444444423,0.0
145,48.0,5550.0,845.7575757575723,0.0
146,48.0,5464.0,863.1313131313119,0.0
147,49.0,5564.0,842.9292929292911,0.0
148,49.0,5536.0,848.5858585858573,0.0
